Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,14,14,0,179,13.0,0.0,
Existants,J2,130,130,0,159,129.0,0.0,
Existants,J3,0,0,0,182,-1.0,,
Existants,J4,91,91,0,162,90.0,0.0,
Existants,J5,221,221,0,116,220.0,0.0,
Existants,J6,258,317,59,172,316.0,0.23,
Existants,J7,0,0,0,61,-1.0,,
Existants,J8,293,373,80,167,372.0,0.27,
Existants,J9,415,459,44,114,458.0,0.11,
Existants,J10,0,0,0,162,-1.0,,
Nouveaux acceptés,J11,,357,,515,0.69,,
Nouveaux acceptés,J12,,599,,570,1.05,,
Nouveaux acceptés,J13,,409,,530,0.77,,
Nouveaux acceptés,J14,,490,,530,0.92,,
Nouveaux acceptés,J15,,352,,498,0.71,,
Nouveaux acceptés,J16,,592,,512,1.16,,
Nouveaux acceptés,J17,,221,,489,0.45,,
Nouveaux acceptés,J18,,308,,477,0.65,,
Nouveaux acceptés,J19,,110,,522,0.21,,
Nouveaux acceptés,J20,,0,,444,0.0,,
