Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,214,185,-29,96,184.0,-0.14,
Existants,J2,0,0,0,102,-1.0,,
Existants,J3,163,150,-13,73,149.0,-0.08,
Existants,J4,0,0,0,99,-1.0,,
Existants,J5,172,291,119,198,290.0,0.69,
Existants,J6,0,0,0,175,-1.0,,
Existants,J7,54,141,87,210,140.0,1.61,
Existants,J8,345,337,-8,87,336.0,-0.02,
Existants,J9,373,437,64,173,436.0,0.17,
Existants,J10,0,0,0,109,-1.0,,
Nouveaux acceptés,J11,,40,,283,0.14,,
Nouveaux acceptés,J12,,279,,325,0.86,,
Nouveaux acceptés,J13,,134,,317,0.42,,
Nouveaux acceptés,J14,,114,,304,0.38,,
Nouveaux acceptés,J15,,328,,332,0.99,,
Nouveaux acceptés,J16,,1,,271,0.0,,
